name,url,scraped
Bratukhin Y.,/player/bratukhin-yuriy/f9IfbEAm,True
Misevra V.,/player/misevra-vadim/OAXmaUEr,True
Shekhovtsov A.,/player/shehovcov-anton/t6Ejafes,True
Herasymenko A.,/player/herasymenko-andrii/CSeqJMwo,True
Zakharov D.,/player/zakharov-dmitry/EJyJbbug,True
Chatikyan A.,/player/chatikyan-artur/ClRXZRtq,True
Fashchevskyi I.,/player/fashchevskyi-ivan/MgVEMWAB,True
Shamray A.,/player/shamray-andrey/OG8OMjdk,True
Gulevskiy R.,/player/gulevskiy-rodion/hvJW6mnl,True
Alekseev S.,/player/alekseev-safrat/Ey6IqNBQ,True
Vakarash R.,/player/vakarash-roman/jBd1i8n1,True
Dziabura O.,/player/dzyabura-aleksander/MsJrWeRf,True
Puhach P.,/player/puhach-prokhor/nNN2PYQh,True
Kireev S.,/player/kireev-sergey/C0cZBAQi,True
Gaynyuk V.,/player/gaynyuk-vladimir/KjUZkbYa,True
Chukanov M.,/player/chukanov-marat/Qi9j7eEh,True
Litvinenko O.,/player/litvinenko-oleg/tY2Ozawt,True
Bazyn F.,/player/bazyn-fedir/hlArPNRP,True
